Time,F-5
779.31865,-2.197092724
780.69476,-2.305010304
782.10287,-2.074437204
783.47511,-2.393627694
784.85035,-2.275539854
786.2716,-2.306633284
787.63595,-2.419484274
789.00651,-2.192764174
790.42255,-1.989251104
791.85091,-2.302806344
793.27615,-2.234280504
794.68638,-2.208261784
796.118,-2.147285524
797.51573,-2.350545604
798.89424,-2.051586914
800.31739,-2.494556554
801.73232,-1.843125054
803.10393,-2.150391474
804.51729,-2.257160924
805.90216,-2.326124934
807.31639,-2.211307104
808.6924,-2.238035974
810.08799,-2.174984314
811.48273,-2.139889104
812.90083,-2.249795434
814.31275,-2.526974144
815.68369,-2.549457914
817.10569,-2.336678734
818.48142,-2.140223844
819.8909,-2.468534764
821.30515,-2.638416244
822.69062,-2.514167064
824.08986,-2.369315654
825.5199,-2.289648424
826.89446,-1.956405894
828.29757,-2.116459964
829.67607,-2.540604804
831.09854,-2.122547644
832.5188,-2.490660124
833.94477,-2.347462764
835.35751,-2.187129634
836.72861,-2.192901654
838.1546,-2.455233404
839.53221,-2.245266654
840.9377,-2.378822274
842.31231,-2.489665424
843.73592,-2.772666724
845.15203,-2.436014584
846.57215,-2.544874164
847.99939,-2.431349974
849.40987,-2.218027194
850.84812,-2.304627874
852.2451,-2.678935274
853.68196,-2.633401094
855.09982,-2.678109024
856.50119,-2.465813164
857.87868,-2.480472644
859.30615,-2.538854624
860.73358,-2.548316714
862.13488,-2.453089764
863.55661,-2.622944904
864.93738,-2.778244894
866.33983,-2.242657684
867.71645,-2.364605494
869.13893,-2.417615574
870.51343,-2.430825124
871.91579,-2.571783454
873.29878,-2.709485494
874.72601,-2.138475854
876.14175,-2.746556694
877.5716,-2.227366514
878.9756,-2.494533314
880.35536,-2.446290474
881.77582,-2.415857204
883.18444,-2.354102084
884.6103,-2.335255084
886.04215,-2.546822054
887.44082,-2.452526544
888.86862,-2.594913624
890.28174,-2.625482544
891.71423,-2.398036584
893.12572,-2.777512894
894.53957,-2.409031634
895.91443,-2.560667914
897.34355,-2.374414244
898.75491,-2.727028174
900.13102,-2.260054944
901.55764,-2.596517524
902.97112,-2.277949794
904.40761,-2.318370234
905.81435,-2.631421894
907.23834,-2.735575244
908.6707,-2.348395844
910.05956,-2.514865564
911.4918,-2.672331404
912.91992,-2.643247934
914.33054,-2.683035134
915.74988,-2.526218514
917.17424,-2.473636634
918.60697,-2.729525194
920.00933,-2.468655904
921.42182,-2.601997694
922.80356,-3.003799584
924.19855,-2.456241074
925.58966,-2.702247974
927.00714,-2.488704104
928.43414,-2.639703544
929.85138,-2.462996244
931.28561,-2.608987384
932.69559,-2.671747074
934.10884,-2.739534874
935.53944,-2.613677894
936.9462,-2.719856044
938.37642,-2.771619634
939.80427,-2.924486214
941.20189,-2.828280714
942.63263,-2.775499814
944.0475,-2.901093404
945.48085,-2.469076504
946.88996,-2.321846894
948.31108,-2.453745324
949.73969,-2.158665124
951.14393,-2.812964804
952.57104,-2.454917514
953.9984,-2.707080864
955.39663,-2.704401044
956.77337,-2.614922634
958.20724,-2.756356434
959.6333,-2.768730634
961.02608,-3.037659014
962.45707,-2.521434224
963.8327,-2.923085874
965.26141,-2.515510754
966.68603,-2.900917974
968.10465,-2.874939304
969.51713,-2.896354704
970.93486,-2.780482234
972.34923,-2.908128684
973.79184,-2.821152494
975.18571,-2.699793294
976.61857,-2.772384104
978.02205,-2.578056794
979.49274,-2.702697334
980.94168,-2.854325094
982.34851,-2.764272474
983.75712,-2.914768144
985.18711,-2.864211254
986.60671,-2.832748634
988.0632,-2.854422454
989.49156,-2.692373204
990.9223,-2.666701634
992.32443,-2.798081564
993.75502,-2.686343134
995.19053,-2.453829674
996.6015,-2.802275604
998.00237,-2.880327534
999.4451,-2.623757484
1000.85021,-2.803790104
1002.2817,-2.839213304
1003.69424,-2.681871334
1005.10917,-2.940756914
1006.53954,-2.988315444
1007.94664,-2.762126424
1009.38338,-2.985384234
1010.79138,-3.114100074
1012.22323,-2.980636414
1013.64958,-3.017521464
1015.04371,-2.750265844
1016.47307,-2.924730194
1017.8993,-2.919588094
1019.30591,-2.831347244
1020.74477,-2.763786224
1022.14514,-2.827178324
1023.57899,-2.668597784
1025.01099,-2.946897114
1026.42697,-3.321974154
1027.85084,-2.927403534
1029.26444,-2.805841984
1030.6948,-2.856510054
1032.10255,-3.011175424
1033.51865,-2.689916304
1034.94781,-3.067338904
1036.359,-2.672018244
1037.77874,-2.797698964
1039.20348,-2.880964954
1040.62771,-2.614458704
1042.03446,-3.122722354
1043.46171,-2.718944224
1044.87918,-2.837717364
1046.31991,-2.687662994
1047.76777,-2.748063204
1049.19352,-2.860555514
1050.61212,-2.650885424
1052.04023,-3.015472644
1053.44972,-2.829224084
1054.87433,-2.778257584
1056.29795,-3.041418614
1057.69581,-3.158586894
1059.1308,-2.794867384
1060.55828,-3.061112444
1061.98339,-3.324074064
1063.39063,-3.169707214
1064.80712,-2.859396284
1066.23423,-2.870519914
1067.65659,-2.975655624
1069.07382,-3.056044264
1070.49732,-2.985416164
1071.8963,-2.812194194
1073.34403,-2.881061894
1074.79515,-2.951358444
1076.20439,-3.051141644
1077.61574,-3.003454794
1079.02811,-3.205279424
1080.39947,-2.753004134
1081.82983,-3.053181154
1083.2497,-2.817533324
1084.65493,-3.310099554
1086.07467,-3.286317044
1087.45616,-3.130471954
1088.88632,-2.978596074
1090.3,-3.163829084
1091.71111,-3.119799154
1093.0886,-3.155024234
1094.49571,-3.143910384
1095.8687,-3.009354374
1097.29331,-2.723014484
1098.66792,-2.995732304
1100.09594,-3.139755274
1101.5034,-2.866269264
1102.92376,-2.990497044
1104.29086,-3.137870464
